Timer started ...
MOD: delay(1250 1250), type(tTMRCO20), from(I1.OSCOUT), to(I1.TIMEROUT)
CHK: delay(0 0), type(tWHA), from(STEP1B_outDISP_5_.C ), to(STEP1B_outDISP_5_.C )
CHK: delay(200 200), type(tH), from(STEP1B_outDISP_5_.D ), to(STEP1B_outDISP_5_.C )
CHK: delay(200 200), type(tS_PT), from(STEP1B_outDISP_5_.D ), to(STEP1B_outDISP_5_.C )
MOD: delay(95 95), type(tSRi), from(STEP1B_outDISP_6_.AR ), to(STEP1B_outDISP_6_.Q )
MOD: delay(45 45), type(tCOi), from(STEP1B_outDISP_6_.C ), to(STEP1B_outDISP_6_.Q )
CHK: delay(0 0), type(tSRW), from(STEP1B_outDISP_6_.AR ), to(STEP1B_outDISP_6_.AR )
CHK: delay(180 180), type(tSRR), from(STEP1B_outDISP_6_.AR ), to(STEP1B_outDISP_6_.C )
CHK: delay(0 0), type(tWLA), from(STEP1B_outDISP_6_.C ), to(STEP1B_outDISP_6_.C )
CHK: delay(0 0), type(tWHA), from(STEP1B_outDISP_6_.C ), to(STEP1B_outDISP_6_.C )
CHK: delay(200 200), type(tH), from(STEP1B_outDISP_6_.D ), to(STEP1B_outDISP_6_.C )
CHK: delay(200 200), type(tS_PT), from(STEP1B_outDISP_6_.D ), to(STEP1B_outDISP_6_.C )
MOD: delay(95 95), type(tSRi), from(STEP1B_outDISP_7_.AR ), to(STEP1B_outDISP_7_.Q )
MOD: delay(45 45), type(tCOi), from(STEP1B_outDISP_7_.C ), to(STEP1B_outDISP_7_.Q )
CHK: delay(0 0), type(tSRW), from(STEP1B_outDISP_7_.AR ), to(STEP1B_outDISP_7_.AR )
CHK: delay(180 180), type(tSRR), from(STEP1B_outDISP_7_.AR ), to(STEP1B_outDISP_7_.C )
CHK: delay(0 0), type(tWLA), from(STEP1B_outDISP_7_.C ), to(STEP1B_outDISP_7_.C )
CHK: delay(0 0), type(tWHA), from(STEP1B_outDISP_7_.C ), to(STEP1B_outDISP_7_.C )
CHK: delay(200 200), type(tH), from(STEP1B_outDISP_7_.D ), to(STEP1B_outDISP_7_.C )
CHK: delay(200 200), type(tS_PT), from(STEP1B_outDISP_7_.D ), to(STEP1B_outDISP_7_.C )
MOD: delay(95 95), type(tSRi), from(STEP1B_outDISP_8_.AR ), to(STEP1B_outDISP_8_.Q )
MOD: delay(45 45), type(tCOi), from(STEP1B_outDISP_8_.C ), to(STEP1B_outDISP_8_.Q )
CHK: delay(0 0), type(tSRW), from(STEP1B_outDISP_8_.AR ), to(STEP1B_outDISP_8_.AR )
CHK: delay(180 180), type(tSRR), from(STEP1B_outDISP_8_.AR ), to(STEP1B_outDISP_8_.C )
CHK: delay(0 0), type(tWLA), from(STEP1B_outDISP_8_.C ), to(STEP1B_outDISP_8_.C )
CHK: delay(0 0), type(tWHA), from(STEP1B_outDISP_8_.C ), to(STEP1B_outDISP_8_.C )
CHK: delay(200 200), type(tH), from(STEP1B_outDISP_8_.D ), to(STEP1B_outDISP_8_.C )
CHK: delay(200 200), type(tS_PT), from(STEP1B_outDISP_8_.D ), to(STEP1B_outDISP_8_.C )
MOD: delay(95 95), type(tSRi), from(STEP1B_outDISP_9_.AR ), to(STEP1B_outDISP_9_.Q )
MOD: delay(45 45), type(tCOi), from(STEP1B_outDISP_9_.C ), to(STEP1B_outDISP_9_.Q )
CHK: delay(0 0), type(tSRW), from(STEP1B_outDISP_9_.AR ), to(STEP1B_outDISP_9_.AR )
CHK: delay(180 180), type(tSRR), from(STEP1B_outDISP_9_.AR ), to(STEP1B_outDISP_9_.C )
CHK: delay(0 0), type(tWLA), from(STEP1B_outDISP_9_.C ), to(STEP1B_outDISP_9_.C )
CHK: delay(0 0), type(tWHA), from(STEP1B_outDISP_9_.C ), to(STEP1B_outDISP_9_.C )
CHK: delay(200 200), type(tH), from(STEP1B_outDISP_9_.D ), to(STEP1B_outDISP_9_.C )
CHK: delay(200 200), type(tS_PT), from(STEP1B_outDISP_9_.D ), to(STEP1B_outDISP_9_.C )
MOD: delay(95 95), type(tSRi), from(STEP1B_outDISP_10_.AR ), to(STEP1B_outDISP_10_.Q )
MOD: delay(45 45), type(tCOi), from(STEP1B_outDISP_10_.C ), to(STEP1B_outDISP_10_.Q )
CHK: delay(0 0), type(tSRW), from(STEP1B_outDISP_10_.AR ), to(STEP1B_outDISP_10_.AR )
CHK: delay(180 180), type(tSRR), from(STEP1B_outDISP_10_.AR ), to(STEP1B_outDISP_10_.C )
CHK: delay(0 0), type(tWLA), from(STEP1B_outDISP_10_.C ), to(STEP1B_outDISP_10_.C )
CHK: delay(0 0), type(tWHA), from(STEP1B_outDISP_10_.C ), to(STEP1B_outDISP_10_.C )
CHK: delay(200 200), type(tH), from(STEP1B_outDISP_10_.D ), to(STEP1B_outDISP_10_.C )
CHK: delay(200 200), type(tS_PT), from(STEP1B_outDISP_10_.D ), to(STEP1B_outDISP_10_.C )
MOD: delay(95 95), type(tSRi), from(STEP1B_outDISP_11_.AR ), to(STEP1B_outDISP_11_.Q )
MOD: delay(45 45), type(tCOi), from(STEP1B_outDISP_11_.C ), to(STEP1B_outDISP_11_.Q )
CHK: delay(0 0), type(tSRW), from(STEP1B_outDISP_11_.AR ), to(STEP1B_outDISP_11_.AR )
CHK: delay(180 180), type(tSRR), from(STEP1B_outDISP_11_.AR ), to(STEP1B_outDISP_11_.C )
CHK: delay(0 0), type(tWLA), from(STEP1B_outDISP_11_.C ), to(STEP1B_outDISP_11_.C )
CHK: delay(0 0), type(tWHA), from(STEP1B_outDISP_11_.C ), to(STEP1B_outDISP_11_.C )
CHK: delay(200 200), type(tH), from(STEP1B_outDISP_11_.D ), to(STEP1B_outDISP_11_.C )
CHK: delay(200 200), type(tS_PT), from(STEP1B_outDISP_11_.D ), to(STEP1B_outDISP_11_.C )
MOD: delay(95 95), type(tSRi), from(STEP1B_outDISP_12_.AR ), to(STEP1B_outDISP_12_.Q )
MOD: delay(45 45), type(tCOi), from(STEP1B_outDISP_12_.C ), to(STEP1B_outDISP_12_.Q )
CHK: delay(0 0), type(tSRW), from(STEP1B_outDISP_12_.AR ), to(STEP1B_outDISP_12_.AR )
CHK: delay(180 180), type(tSRR), from(STEP1B_outDISP_12_.AR ), to(STEP1B_outDISP_12_.C )
CHK: delay(0 0), type(tWLA), from(STEP1B_outDISP_12_.C ), to(STEP1B_outDISP_12_.C )
CHK: delay(0 0), type(tWHA), from(STEP1B_outDISP_12_.C ), to(STEP1B_outDISP_12_.C )
CHK: delay(200 200), type(tH), from(STEP1B_outDISP_12_.D ), to(STEP1B_outDISP_12_.C )
CHK: delay(200 200), type(tS_PT), from(STEP1B_outDISP_12_.D ), to(STEP1B_outDISP_12_.C )
MOD: delay(95 95), type(tSRi), from(STEP1B_outDISP_13_.AR ), to(STEP1B_outDISP_13_.Q )
MOD: delay(45 45), type(tCOi), from(STEP1B_outDISP_13_.C ), to(STEP1B_outDISP_13_.Q )
CHK: delay(0 0), type(tSRW), from(STEP1B_outDISP_13_.AR ), to(STEP1B_outDISP_13_.AR )
CHK: delay(180 180), type(tSRR), from(STEP1B_outDISP_13_.AR ), to(STEP1B_outDISP_13_.C )
CHK: delay(0 0), type(tWLA), from(STEP1B_outDISP_13_.C ), to(STEP1B_outDISP_13_.C )
CHK: delay(0 0), type(tWHA), from(STEP1B_outDISP_13_.C ), to(STEP1B_outDISP_13_.C )
CHK: delay(200 200), type(tH), from(STEP1B_outDISP_13_.D ), to(STEP1B_outDISP_13_.C )
CHK: delay(200 200), type(tS_PT), from(STEP1B_outDISP_13_.D ), to(STEP1B_outDISP_13_.C )
MOD: delay(95 95), type(tSRi), from(STEP1B_outDISP_14_.AR ), to(STEP1B_outDISP_14_.Q )
MOD: delay(45 45), type(tCOi), from(STEP1B_outDISP_14_.C ), to(STEP1B_outDISP_14_.Q )
CHK: delay(0 0), type(tSRW), from(STEP1B_outDISP_14_.AR ), to(STEP1B_outDISP_14_.AR )
CHK: delay(180 180), type(tSRR), from(STEP1B_outDISP_14_.AR ), to(STEP1B_outDISP_14_.C )
CHK: delay(0 0), type(tWLA), from(STEP1B_outDISP_14_.C ), to(STEP1B_outDISP_14_.C )
CHK: delay(0 0), type(tWHA), from(STEP1B_outDISP_14_.C ), to(STEP1B_outDISP_14_.C )
CHK: delay(200 200), type(tH), from(STEP1B_outDISP_14_.D ), to(STEP1B_outDISP_14_.C )
CHK: delay(200 200), type(tS_PT), from(STEP1B_outDISP_14_.D ), to(STEP1B_outDISP_14_.C )
MOD: delay(95 95), type(tSRi), from(STEP1B_outDISP_15_.AR ), to(STEP1B_outDISP_15_.Q )
MOD: delay(45 45), type(tCOi), from(STEP1B_outDISP_15_.C ), to(STEP1B_outDISP_15_.Q )
CHK: delay(0 0), type(tSRW), from(STEP1B_outDISP_15_.AR ), to(STEP1B_outDISP_15_.AR )
CHK: delay(180 180), type(tSRR), from(STEP1B_outDISP_15_.AR ), to(STEP1B_outDISP_15_.C )
CHK: delay(0 0), type(tWLA), from(STEP1B_outDISP_15_.C ), to(STEP1B_outDISP_15_.C )
CHK: delay(0 0), type(tWHA), from(STEP1B_outDISP_15_.C ), to(STEP1B_outDISP_15_.C )
CHK: delay(200 200), type(tH), from(STEP1B_outDISP_15_.D ), to(STEP1B_outDISP_15_.C )
CHK: delay(200 200), type(tS_PT), from(STEP1B_outDISP_15_.D ), to(STEP1B_outDISP_15_.C )
MOD: delay(95 95), type(tSRi), from(STEP1B_outDISP_16_.AR ), to(STEP1B_outDISP_16_.Q )
MOD: delay(45 45), type(tCOi), from(STEP1B_outDISP_16_.C ), to(STEP1B_outDISP_16_.Q )
CHK: delay(0 0), type(tSRW), from(STEP1B_outDISP_16_.AR ), to(STEP1B_outDISP_16_.AR )
CHK: delay(180 180), type(tSRR), from(STEP1B_outDISP_16_.AR ), to(STEP1B_outDISP_16_.C )
CHK: delay(0 0), type(tWLA), from(STEP1B_outDISP_16_.C ), to(STEP1B_outDISP_16_.C )
CHK: delay(0 0), type(tWHA), from(STEP1B_outDISP_16_.C ), to(STEP1B_outDISP_16_.C )
CHK: delay(200 200), type(tH), from(STEP1B_outDISP_16_.D ), to(STEP1B_outDISP_16_.C )
CHK: delay(200 200), type(tS_PT), from(STEP1B_outDISP_16_.D ), to(STEP1B_outDISP_16_.C )
MOD: delay(95 95), type(tSRi), from(STEP1B_outDISP_17_.AR ), to(STEP1B_outDISP_17_.Q )
MOD: delay(45 45), type(tCOi), from(STEP1B_outDISP_17_.C ), to(STEP1B_outDISP_17_.Q )
CHK: delay(0 0), type(tSRW), from(STEP1B_outDISP_17_.AR ), to(STEP1B_outDISP_17_.AR )
CHK: delay(180 180), type(tSRR), from(STEP1B_outDISP_17_.AR ), to(STEP1B_outDISP_17_.C )
CHK: delay(0 0), type(tWLA), from(STEP1B_outDISP_17_.C ), to(STEP1B_outDISP_17_.C )
CHK: delay(0 0), type(tWHA), from(STEP1B_outDISP_17_.C ), to(STEP1B_outDISP_17_.C )
CHK: delay(200 200), type(tH), from(STEP1B_outDISP_17_.D ), to(STEP1B_outDISP_17_.C )
CHK: delay(200 200), type(tS_PT), from(STEP1B_outDISP_17_.D ), to(STEP1B_outDISP_17_.C )
MOD: delay(95 95), type(tSRi), from(STEP1B_outDISP_18_.AR ), to(STEP1B_outDISP_18_.Q )
MOD: delay(45 45), type(tCOi), from(STEP1B_outDISP_18_.C ), to(STEP1B_outDISP_18_.Q )
CHK: delay(0 0), type(tSRW), from(STEP1B_outDISP_18_.AR ), to(STEP1B_outDISP_18_.AR )
CHK: delay(180 180), type(tSRR), from(STEP1B_outDISP_18_.AR ), to(STEP1B_outDISP_18_.C )
CHK: delay(0 0), type(tWLA), from(STEP1B_outDISP_18_.C ), to(STEP1B_outDISP_18_.C )
CHK: delay(0 0), type(tWHA), from(STEP1B_outDISP_18_.C ), to(STEP1B_outDISP_18_.C )
CHK: delay(200 200), type(tH), from(STEP1B_outDISP_18_.D ), to(STEP1B_outDISP_18_.C )
CHK: delay(200 200), type(tS_PT), from(STEP1B_outDISP_18_.D ), to(STEP1B_outDISP_18_.C )
MOD: delay(95 95), type(tSRi), from(STEP1B_outDISP_19_.AR ), to(STEP1B_outDISP_19_.Q )
MOD: delay(45 45), type(tCOi), from(STEP1B_outDISP_19_.C ), to(STEP1B_outDISP_19_.Q )
CHK: delay(0 0), type(tSRW), from(STEP1B_outDISP_19_.AR ), to(STEP1B_outDISP_19_.AR )
CHK: delay(180 180), type(tSRR), from(STEP1B_outDISP_19_.AR ), to(STEP1B_outDISP_19_.C )
CHK: delay(0 0), type(tWLA), from(STEP1B_outDISP_19_.C ), to(STEP1B_outDISP_19_.C )
CHK: delay(0 0), type(tWHA), from(STEP1B_outDISP_19_.C ), to(STEP1B_outDISP_19_.C )
CHK: delay(200 200), type(tH), from(STEP1B_outDISP_19_.D ), to(STEP1B_outDISP_19_.C )
CHK: delay(200 200), type(tS_PT), from(STEP1B_outDISP_19_.D ), to(STEP1B_outDISP_19_.C )
MOD: delay(95 95), type(tSRi), from(STEP1B_outDISP_20_.AR ), to(STEP1B_outDISP_20_.Q )
MOD: delay(45 45), type(tCOi), from(STEP1B_outDISP_20_.C ), to(STEP1B_outDISP_20_.Q )
CHK: delay(0 0), type(tSRW), from(STEP1B_outDISP_20_.AR ), to(STEP1B_outDISP_20_.AR )
CHK: delay(180 180), type(tSRR), from(STEP1B_outDISP_20_.AR ), to(STEP1B_outDISP_20_.C )
CHK: delay(0 0), type(tWLA), from(STEP1B_outDISP_20_.C ), to(STEP1B_outDISP_20_.C )
CHK: delay(0 0), type(tWHA), from(STEP1B_outDISP_20_.C ), to(STEP1B_outDISP_20_.C )
CHK: delay(200 200), type(tH), from(STEP1B_outDISP_20_.D ), to(STEP1B_outDISP_20_.C )
CHK: delay(200 200), type(tS_PT), from(STEP1B_outDISP_20_.D ), to(STEP1B_outDISP_20_.C )
MOD: delay(95 95), type(tSRi), from(STEP5_outSRST.AP ), to(STEP5_outSRST.Q )
MOD: delay(35 35), type(tGOi), from(STEP5_outSRST.LH ), to(STEP5_outSRST.Q )
MOD: delay(25 25), type(tPDLi), from(STEP5_outSRST.D ), to(STEP5_outSRST.Q )
CHK: delay(0 0), type(tSRW), from(STEP5_outSRST.AP ), to(STEP5_outSRST.AP )
CHK: delay(180 180), type(tSRR), from(STEP5_outSRST.AP ), to(STEP5_outSRST.LH )
CHK: delay(0 0), type(tGWA), from(STEP5_outSRST.LH ), to(STEP5_outSRST.LH )
CHK: delay(200 200), type(tHL), from(STEP5_outSRST.D ), to(STEP5_outSRST.LH )
CHK: delay(200 200), type(tSL_PT), from(STEP5_outSRST.D ), to(STEP5_outSRST.LH )
MOD: delay(95 95), type(tSRi), from(STEP2_count_state_0_.AR ), to(STEP2_count_state_0_.Q )
MOD: delay(45 45), type(tCOi), from(STEP2_count_state_0_.C ), to(STEP2_count_state_0_.Q )
CHK: delay(0 0), type(tSRW), from(STEP2_count_state_0_.AR ), to(STEP2_count_state_0_.AR )
CHK: delay(180 180), type(tSRR), from(STEP2_count_state_0_.AR ), to(STEP2_count_state_0_.C )
CHK: delay(0 0), type(tWLA), from(STEP2_count_state_0_.C ), to(STEP2_count_state_0_.C )
CHK: delay(0 0), type(tWHA), from(STEP2_count_state_0_.C ), to(STEP2_count_state_0_.C )
CHK: delay(200 200), type(tH), from(STEP2_count_state_0_.D ), to(STEP2_count_state_0_.C )
CHK: delay(200 200), type(tS_PT), from(STEP2_count_state_0_.D ), to(STEP2_count_state_0_.C )
MOD: delay(95 95), type(tSRi), from(STEP2_count_state_1_.AR ), to(STEP2_count_state_1_.Q )
MOD: delay(45 45), type(tCOi), from(STEP2_count_state_1_.C ), to(STEP2_count_state_1_.Q )
CHK: delay(0 0), type(tSRW), from(STEP2_count_state_1_.AR ), to(STEP2_count_state_1_.AR )
CHK: delay(180 180), type(tSRR), from(STEP2_count_state_1_.AR ), to(STEP2_count_state_1_.C )
CHK: delay(0 0), type(tWLA), from(STEP2_count_state_1_.C ), to(STEP2_count_state_1_.C )
CHK: delay(0 0), type(tWHA), from(STEP2_count_state_1_.C ), to(STEP2_count_state_1_.C )
CHK: delay(200 200), type(tH), from(STEP2_count_state_1_.D ), to(STEP2_count_state_1_.C )
CHK: delay(200 200), type(tS_PT), from(STEP2_count_state_1_.D ), to(STEP2_count_state_1_.C )
MOD: delay(95 95), type(tSRi), from(STEP2_count_state_2_.AR ), to(STEP2_count_state_2_.Q )
MOD: delay(45 45), type(tCOi), from(STEP2_count_state_2_.C ), to(STEP2_count_state_2_.Q )
CHK: delay(0 0), type(tSRW), from(STEP2_count_state_2_.AR ), to(STEP2_count_state_2_.AR )
CHK: delay(180 180), type(tSRR), from(STEP2_count_state_2_.AR ), to(STEP2_count_state_2_.C )
CHK: delay(0 0), type(tWLA), from(STEP2_count_state_2_.C ), to(STEP2_count_state_2_.C )
CHK: delay(0 0), type(tWHA), from(STEP2_count_state_2_.C ), to(STEP2_count_state_2_.C )
CHK: delay(200 200), type(tH), from(STEP2_count_state_2_.D ), to(STEP2_count_state_2_.C )
CHK: delay(200 200), type(tS_PT), from(STEP2_count_state_2_.D ), to(STEP2_count_state_2_.C )
MOD: delay(95 95), type(tSRi), from(STEP3_qcombo_0_.AP ), to(STEP3_qcombo_0_.Q )
MOD: delay(45 45), type(tCOi), from(STEP3_qcombo_0_.C ), to(STEP3_qcombo_0_.Q )
CHK: delay(0 0), type(tSRW), from(STEP3_qcombo_0_.AP ), to(STEP3_qcombo_0_.AP )
CHK: delay(180 180), type(tSRR), from(STEP3_qcombo_0_.AP ), to(STEP3_qcombo_0_.C )
CHK: delay(0 0), type(tCEH), from(STEP3_qcombo_0_.CE ), to(STEP3_qcombo_0_.C )
CHK: delay(200 200), type(tCES), from(STEP3_qcombo_0_.CE ), to(STEP3_qcombo_0_.C )
CHK: delay(0 0), type(tWLA), from(STEP3_qcombo_0_.C ), to(STEP3_qcombo_0_.C )
CHK: delay(0 0), type(tWHA), from(STEP3_qcombo_0_.C ), to(STEP3_qcombo_0_.C )
CHK: delay(200 200), type(tHT), from(STEP3_qcombo_0_.T ), to(STEP3_qcombo_0_.C )
CHK: delay(220 220), type(tST_PT), from(STEP3_qcombo_0_.T ), to(STEP3_qcombo_0_.C )
MOD: delay(95 95), type(tSRi), from(STEP3_qcombo_1_.AP ), to(STEP3_qcombo_1_.Q )
MOD: delay(45 45), type(tCOi), from(STEP3_qcombo_1_.C ), to(STEP3_qcombo_1_.Q )
CHK: delay(0 0), type(tSRW), from(STEP3_qcombo_1_.AP ), to(STEP3_qcombo_1_.AP )
CHK: delay(180 180), type(tSRR), from(STEP3_qcombo_1_.AP ), to(STEP3_qcombo_1_.C )
CHK: delay(0 0), type(tCEH), from(STEP3_qcombo_1_.CE ), to(STEP3_qcombo_1_.C )
CHK: delay(200 200), type(tCES), from(STEP3_qcombo_1_.CE ), to(STEP3_qcombo_1_.C )
CHK: delay(0 0), type(tWLA), from(STEP3_qcombo_1_.C ), to(STEP3_qcombo_1_.C )
CHK: delay(0 0), type(tWHA), from(STEP3_qcombo_1_.C ), to(STEP3_qcombo_1_.C )
CHK: delay(200 200), type(tH), from(STEP3_qcombo_1_.D ), to(STEP3_qcombo_1_.C )
CHK: delay(200 200), type(tS_PT), from(STEP3_qcombo_1_.D ), to(STEP3_qcombo_1_.C )
MOD: delay(95 95), type(tSRi), from(STEP3_qcombo_2_.AP ), to(STEP3_qcombo_2_.Q )
MOD: delay(45 45), type(tCOi), from(STEP3_qcombo_2_.C ), to(STEP3_qcombo_2_.Q )
CHK: delay(0 0), type(tSRW), from(STEP3_qcombo_2_.AP ), to(STEP3_qcombo_2_.AP )
CHK: delay(180 180), type(tSRR), from(STEP3_qcombo_2_.AP ), to(STEP3_qcombo_2_.C )
CHK: delay(0 0), type(tCEH), from(STEP3_qcombo_2_.CE ), to(STEP3_qcombo_2_.C )
CHK: delay(200 200), type(tCES), from(STEP3_qcombo_2_.CE ), to(STEP3_qcombo_2_.C )
CHK: delay(0 0), type(tWLA), from(STEP3_qcombo_2_.C ), to(STEP3_qcombo_2_.C )
CHK: delay(0 0), type(tWHA), from(STEP3_qcombo_2_.C ), to(STEP3_qcombo_2_.C )
CHK: delay(200 200), type(tH), from(STEP3_qcombo_2_.D ), to(STEP3_qcombo_2_.C )
CHK: delay(200 200), type(tS_PT), from(STEP3_qcombo_2_.D ), to(STEP3_qcombo_2_.C )
MOD: delay(95 95), type(tSRi), from(STEP3_qcombo_3_.AP ), to(STEP3_qcombo_3_.Q )
MOD: delay(45 45), type(tCOi), from(STEP3_qcombo_3_.C ), to(STEP3_qcombo_3_.Q )
CHK: delay(0 0), type(tSRW), from(STEP3_qcombo_3_.AP ), to(STEP3_qcombo_3_.AP )
CHK: delay(180 180), type(tSRR), from(STEP3_qcombo_3_.AP ), to(STEP3_qcombo_3_.C )
CHK: delay(0 0), type(tCEH), from(STEP3_qcombo_3_.CE ), to(STEP3_qcombo_3_.C )
CHK: delay(200 200), type(tCES), from(STEP3_qcombo_3_.CE ), to(STEP3_qcombo_3_.C )
CHK: delay(0 0), type(tWLA), from(STEP3_qcombo_3_.C ), to(STEP3_qcombo_3_.C )
CHK: delay(0 0), type(tWHA), from(STEP3_qcombo_3_.C ), to(STEP3_qcombo_3_.C )
CHK: delay(200 200), type(tH), from(STEP3_qcombo_3_.D ), to(STEP3_qcombo_3_.C )
CHK: delay(200 200), type(tS_PT), from(STEP3_qcombo_3_.D ), to(STEP3_qcombo_3_.C )
MOD: delay(95 95), type(tSRi), from(STEP3_qcombo_4_.AP ), to(STEP3_qcombo_4_.Q )
MOD: delay(45 45), type(tCOi), from(STEP3_qcombo_4_.C ), to(STEP3_qcombo_4_.Q )
CHK: delay(0 0), type(tSRW), from(STEP3_qcombo_4_.AP ), to(STEP3_qcombo_4_.AP )
CHK: delay(180 180), type(tSRR), from(STEP3_qcombo_4_.AP ), to(STEP3_qcombo_4_.C )
CHK: delay(0 0), type(tCEH), from(STEP3_qcombo_4_.CE ), to(STEP3_qcombo_4_.C )
CHK: delay(200 200), type(tCES), from(STEP3_qcombo_4_.CE ), to(STEP3_qcombo_4_.C )
CHK: delay(0 0), type(tWLA), from(STEP3_qcombo_4_.C ), to(STEP3_qcombo_4_.C )
CHK: delay(0 0), type(tWHA), from(STEP3_qcombo_4_.C ), to(STEP3_qcombo_4_.C )
CHK: delay(200 200), type(tH), from(STEP3_qcombo_4_.D ), to(STEP3_qcombo_4_.C )
CHK: delay(200 200), type(tS_PT), from(STEP3_qcombo_4_.D ), to(STEP3_qcombo_4_.C )
MOD: delay(95 95), type(tSRi), from(STEP3_qcombo_5_.AP ), to(STEP3_qcombo_5_.Q )
MOD: delay(45 45), type(tCOi), from(STEP3_qcombo_5_.C ), to(STEP3_qcombo_5_.Q )
CHK: delay(0 0), type(tSRW), from(STEP3_qcombo_5_.AP ), to(STEP3_qcombo_5_.AP )
CHK: delay(180 180), type(tSRR), from(STEP3_qcombo_5_.AP ), to(STEP3_qcombo_5_.C )
CHK: delay(0 0), type(tCEH), from(STEP3_qcombo_5_.CE ), to(STEP3_qcombo_5_.C )
CHK: delay(200 200), type(tCES), from(STEP3_qcombo_5_.CE ), to(STEP3_qcombo_5_.C )
CHK: delay(0 0), type(tWLA), from(STEP3_qcombo_5_.C ), to(STEP3_qcombo_5_.C )
CHK: delay(0 0), type(tWHA), from(STEP3_qcombo_5_.C ), to(STEP3_qcombo_5_.C )
CHK: delay(200 200), type(tH), from(STEP3_qcombo_5_.D ), to(STEP3_qcombo_5_.C )
CHK: delay(200 200), type(tS_PT), from(STEP3_qcombo_5_.D ), to(STEP3_qcombo_5_.C )
MOD: delay(95 95), type(tSRi), from(STEP3_qcombo_6_.AP ), to(STEP3_qcombo_6_.Q )
MOD: delay(45 45), type(tCOi), from(STEP3_qcombo_6_.C ), to(STEP3_qcombo_6_.Q )
CHK: delay(0 0), type(tSRW), from(STEP3_qcombo_6_.AP ), to(STEP3_qcombo_6_.AP )
CHK: delay(180 180), type(tSRR), from(STEP3_qcombo_6_.AP ), to(STEP3_qcombo_6_.C )
CHK: delay(0 0), type(tCEH), from(STEP3_qcombo_6_.CE ), to(STEP3_qcombo_6_.C )
CHK: delay(200 200), type(tCES), from(STEP3_qcombo_6_.CE ), to(STEP3_qcombo_6_.C )
CHK: delay(0 0), type(tWLA), from(STEP3_qcombo_6_.C ), to(STEP3_qcombo_6_.C )
CHK: delay(0 0), type(tWHA), from(STEP3_qcombo_6_.C ), to(STEP3_qcombo_6_.C )
CHK: delay(200 200), type(tH), from(STEP3_qcombo_6_.D ), to(STEP3_qcombo_6_.C )
CHK: delay(200 200), type(tS_PT), from(STEP3_qcombo_6_.D ), to(STEP3_qcombo_6_.C )
MOD: delay(95 95), type(tSRi), from(STEP3_qcombo_7_.AP ), to(STEP3_qcombo_7_.Q )
MOD: delay(45 45), type(tCOi), from(STEP3_qcombo_7_.C ), to(STEP3_qcombo_7_.Q )
CHK: delay(0 0), type(tSRW), from(STEP3_qcombo_7_.AP ), to(STEP3_qcombo_7_.AP )
CHK: delay(180 180), type(tSRR), from(STEP3_qcombo_7_.AP ), to(STEP3_qcombo_7_.C )
CHK: delay(0 0), type(tCEH), from(STEP3_qcombo_7_.CE ), to(STEP3_qcombo_7_.C )
CHK: delay(200 200), type(tCES), from(STEP3_qcombo_7_.CE ), to(STEP3_qcombo_7_.C )
CHK: delay(0 0), type(tWLA), from(STEP3_qcombo_7_.C ), to(STEP3_qcombo_7_.C )
CHK: delay(0 0), type(tWHA), from(STEP3_qcombo_7_.C ), to(STEP3_qcombo_7_.C )
CHK: delay(200 200), type(tH), from(STEP3_qcombo_7_.D ), to(STEP3_qcombo_7_.C )
CHK: delay(200 200), type(tS_PT), from(STEP3_qcombo_7_.D ), to(STEP3_qcombo_7_.C )
MOD: delay(95 95), type(tSRi), from(STEP5_outEN.AR ), to(STEP5_outEN.Q )
MOD: delay(35 35), type(tGOi), from(STEP5_outEN.LH ), to(STEP5_outEN.Q )
MOD: delay(25 25), type(tPDLi), from(STEP5_outEN.D ), to(STEP5_outEN.Q )
CHK: delay(0 0), type(tSRW), from(STEP5_outEN.AR ), to(STEP5_outEN.AR )
CHK: delay(180 180), type(tSRR), from(STEP5_outEN.AR ), to(STEP5_outEN.LH )
CHK: delay(0 0), type(tGWA), from(STEP5_outEN.LH ), to(STEP5_outEN.LH )
CHK: delay(200 200), type(tHL), from(STEP5_outEN.D ), to(STEP5_outEN.LH )
CHK: delay(200 200), type(tSL_PT), from(STEP5_outEN.D ), to(STEP5_outEN.LH )
MOD: delay(45 45), type(tPDi), from(gnd_n_n ), to(gnd_n_n.OUT)
MOD: delay(45 45), type(tPDi), from(gnd_n_n ), to(gnd_n_n.OUT)
MOD: delay(95 95), type(tSRi), from(STEP1B_Di1_0_.AR ), to(STEP1B_Di1_0_.Q )
MOD: delay(45 45), type(tCOi), from(STEP1B_Di1_0_.C ), to(STEP1B_Di1_0_.Q )
CHK: delay(0 0), type(tSRW), from(STEP1B_Di1_0_.AR ), to(STEP1B_Di1_0_.AR )
CHK: delay(180 180), type(tSRR), from(STEP1B_Di1_0_.AR ), to(STEP1B_Di1_0_.C )
CHK: delay(0 0), type(tWLA), from(STEP1B_Di1_0_.C ), to(STEP1B_Di1_0_.C )
CHK: delay(0 0), type(tWHA), from(STEP1B_Di1_0_.C ), to(STEP1B_Di1_0_.C )
CHK: delay(200 200), type(tH), from(STEP1B_Di1_0_.D ), to(STEP1B_Di1_0_.C )
CHK: delay(200 200), type(tS_PT), from(STEP1B_Di1_0_.D ), to(STEP1B_Di1_0_.C )
